"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Canha, Mark","592192","209","11",31.6,"107","88.8","98.5","92.7","87.5","414","151","391","83",39.7,"7",3.3,2.2
"Rengifo, Luis","650859","209","5.9",31.1,"110.2","87.3","97.4","90.7","85.8","413","127","391","72",34.4,"6",2.9,2.3
"Rafaela, Ceddanne","678882","209","14.6",33.5,"108.2","86.7","98","91.5","84.3","420","156","387","76",36.4,"12",5.7,4
"Freeman, Tyler","671289","208","13.2",29.3,"109.2","87.9","99.1","90.6","88.3","418","146","386","77",37,"9",4.3,3.1
"Nimmo, Brandon","607043","207","11.6",38.2,"111.1","92.4","102","95","90.8","440","180","400","102",49.3,"25",12.1,7.3
"India, Jonathan","663697","206","10",41.7,"110.8","88.1","99.3","89.9","87.9","406","155","373","78",37.9,"13",6.3,4.1
"Taveras, Leody","665750","206","13.6",33.5,"110.1","90.1","100.4","92","89.8","437","174","411","85",41.3,"11",5.3,3.8
"Neto, Zach","687263","206","12.4",30.6,"111.3","88.9","100.6","96.1","83.1","423","160","398","78",37.9,"19",9.2,6.3
"Vierling, Matt","663837","206","13.5",38.8,"111.2","90.9","101.4","93.9","89.3","414","174","385","91",44.6,"21",10.2,7.4
"De La Cruz, Elly","682829","205","10.5",32.7,"114.7","91.6","102.8","96.2","88.1","450","164","406","93",45.4,"26",12.7,7.2
"Frelick, Sal","686217","204","6.9",28.4,"105.9","84.7","95.3","86.8","83.8","400","124","373","41",20.1,"3",1.5,1
"O'Hearn, Ryan","656811","204","11.5",33.8,"108.8","90.3","100.8","95.1","86","435","169","396","85",41.7,"15",7.4,6
"Smith, Josh","669701","203","16.2",36,"107.2","87.1","97.9","90.7","84.5","395","166","368","70",34.5,"6",3,2
"Candelario, Jeimer","600869","203","14",35.5,"108.2","86.8","98.3","92","81.3","423","175","387","73",36,"17",8.4,5.7
"Schwarber, Kyle","656941","202","14.8",30.2,"115.2","93.3","104.8","97.2","90.4","444","172","407","109",54,"23",11.4,6.3
"Harris II, Michael","671739","202","6.9",30.7,"114.4","89.3","102.2","94.3","87.7","426","137","401","88",43.6,"12",5.9,4.3
"Heim, Jonah","641680","202","15.3",27.2,"109.8","89.3","99","91.5","88.7","411","161","386","77",38.1,"14",6.9,5.1
"Keith, Colt","690993","200","12.8",32.5,"109.4","87.8","98.1","89.5","86.7","406","166","386","70",35,"13",6.5,4.9
"Arozarena, Randy","668227","200","14",25,"112.1","90.6","101","94.2","89.2","445","156","396","84",42,"17",8.5,5.2
"Devers, Rafael","646240","199","13.6",34.2,"113.3","93.8","104.5","97.8","91.6","467","170","406","104",52.3,"29",14.6,9.4
"Blackmon, Charlie","453568","198","16",33.3,"107.6","84.6","95.9","89.4","81.4","431","161","407","55",27.8,"12",6.1,4.6
"Correa, Carlos","621043","197","10.3",36,"113.9","91.2","103.4","94.6","89.3","442","166","404","93",47.2,"19",9.6,6.9
"Dubón, Mauricio","643289","196","13.9",29.6,"108.3","86.4","96.1","87.4","87.1","401","160","372","50",25.5,"6",3.1,2.7
"Lopez, Nicky","670032","196","8.3",30.1,"106.5","85.8","94.1","90.1","83.9","382","134",,"36",18.4,"2",1,0.8
"Riley, Austin","663586","196","15.2",33.2,"113.5","92","103.1","94.7","89.5","449","178","425","99",50.5,"25",12.8,8.5
"Turner, Justin","457759","194","16.5",38.7,"106.8","87","96.8","89.9","84.2","425","176","388","62",32,"7",3.6,2.5
"Soler, Jorge","624585","194","19.4",32,"114","90","100.4","94.2","87.3","452","181","420","73",37.6,"18",9.3,6.1
"Joe, Connor","656582","193","16",35.2,"109.4","86","98.4","91.6","82.5","408","161","390","65",33.7,"11",5.7,4
"Sheets, Gavin","657757","192","16.3",42.7,"109.4","89.3","99.4","91.1","89.2","410","186","385","70",36.5,"13",6.8,4.6
"Marte, Starling","516782","191","5.7",38.7,"110.9","90.1","101.6","93.8","87.6","434","143","402","87",45.5,"14",7.3,5.3
"Miranda, Jose","669304","191","16",34.6,"108.8","89.7","99.6","91.9","88.8","437","181","404","77",40.3,"15",7.9,6.2
"Happ, Ian","664023","191","13.1",35.6,"114","90.1","101.5","95.3","86.5","442","171","390","82",42.9,"24",12.6,7.3
"Winker, Jesse","608385","190","13.6",27.4,"108.5","88.6","99","93.1","86.2","429","144","400","69",36.3,"16",8.4,5.1
"Suárez, Eugenio","553993","189","17.8",36.5,"109.4","87.4","98.8","92.2","82.9","409","182","383","66",34.9,"14",7.4,4.4
"Rodgers, Brendan","663898","188","4.2",30.9,"111.1","88.8","100.9","91.5","87.6","436","136","407","84",44.7,"9",4.8,3.5
"Ruiz, Keibert","660688","186","19.8",38.2,"106.8","85.5","95.2","87.7","84.7","406","178","393","46",24.7,"4",2.2,1.8
"McCutchen, Andrew","457705","185","11.7",36.8,"108.5","88.8","99.9","94.7","83.9","448","173","402","74",40,"24",13,7.9
